Entry	Entry name
H7C0L2	H7C0L2_HUMAN
H7C147	H7C147_HUMAN
H7C3W1	H7C3W1_HUMAN
O60443	DFNA5_HUMAN
B6V682	B6V682_HUMAN
L8E969	L8E969_HUMAN
Q9UGM3	DMBT1_HUMAN
A0A0S2Z418	A0A0S2Z418_HUMAN
C0KWD1	C0KWD1_HUMAN
C0KWD2	C0KWD2_HUMAN
C9IYM5	C9IYM5_HUMAN
C9J8W4	C9J8W4_HUMAN
C9JWQ1	C9JWQ1_HUMAN
E9PBQ4	E9PBQ4_HUMAN
F1D8N6	F1D8N6_HUMAN
F1DAL2	F1DAL2_HUMAN
F8W6I3	F8W6I3_HUMAN
H7BZ00	H7BZ00_HUMAN
P43354	NR4A2_HUMAN
P29508	SPB3_HUMAN
D6RAE2	D6RAE2_HUMAN
D6RBM1	D6RBM1_HUMAN
D6RGJ5	D6RGJ5_HUMAN
E9PC44	E9PC44_HUMAN
E9PDM8	E9PDM8_HUMAN
E9PG84	E9PG84_HUMAN
O94855	SC24D_HUMAN
Q49AI3	Q49AI3_HUMAN
Q4W5D3	Q4W5D3_HUMAN
L8E7R5	L8E7R5_HUMAN
Q06141	REG3A_HUMAN
Q53S56	Q53S56_HUMAN
E5RK05	E5RK05_HUMAN
O15204	ADEC1_HUMAN
A0A024R969	A0A024R969_HUMAN
H0Y3U8	H0Y3U8_HUMAN
P36222	CH3L1_HUMAN
Q9NY39	Q9NY39_HUMAN
Q9NY40	Q9NY40_HUMAN
Q9NY41	Q9NY41_HUMAN
C0MHM2	C0MHM2_HUMAN
D3DWC4	D3DWC4_HUMAN
E6ZCI6	E6ZCI6_HUMAN
E6ZCI7	E6ZCI7_HUMAN
Q86VZ5	SMS1_HUMAN
R4GNI5	R4GNI5_HUMAN
U3KQ11	U3KQ11_HUMAN
A0A0J9YY58	A0A0J9YY58_HUMAN
A0AVL1	A0AVL1_HUMAN
C9J6H5	C9J6H5_HUMAN
C9JPM3	C9JPM3_HUMAN
F8WC54	F8WC54_HUMAN
Q13443	ADAM9_HUMAN
A0A0S2Z471	A0A0S2Z471_HUMAN
G3V2I1	G3V2I1_HUMAN
G3V461	G3V461_HUMAN
G3V4N7	G3V4N7_HUMAN
H0YJG0	H0YJG0_HUMAN
H0YJJ7	H0YJJ7_HUMAN
H0YJK0	H0YJK0_HUMAN
P12277	KCRB_HUMAN
V9HWH2	V9HWH2_HUMAN
P06702	S10A9_HUMAN
A0A087X0K0	A0A087X0K0_HUMAN
P39059	COFA1_HUMAN
A0A024R8J2	A0A024R8J2_HUMAN
A0A0D9SGK2	A0A0D9SGK2_HUMAN
B5BU78	B5BU78_HUMAN
J3KSB4	J3KSB4_HUMAN
Q93096	TP4A1_HUMAN
A0A024R145	A0A024R145_HUMAN
A0A087WXX2	A0A087WXX2_HUMAN
P05062	ALDOB_HUMAN
L8E878	L8E878_HUMAN
O43927	CXL13_HUMAN
Q53X90	Q53X90_HUMAN
P05109	S10A8_HUMAN
O77966	O77966_HUMAN
A0A024F8R0	A0A024F8R0_HUMAN
A0A024F8S6	A0A024F8S6_HUMAN
A0A024F9V3	A0A024F9V3_HUMAN
A0A068B7P5	A0A068B7P5_HUMAN
A0A0P1GL35	A0A0P1GL35_HUMAN
A0A0Y0BU96	A0A0Y0BU96_HUMAN
A0A173ADR4	A0A173ADR4_HUMAN
A0A173ADR5	A0A173ADR5_HUMAN
A0A173ADR6	A0A173ADR6_HUMAN
A0A173ADR7	A0A173ADR7_HUMAN
A0A173ADS0	A0A173ADS0_HUMAN
A0A173ADS1	A0A173ADS1_HUMAN
A0A173ADS8	A0A173ADS8_HUMAN
A0A173ADW6	A0A173ADW6_HUMAN
A0A173ADY0	A0A173ADY0_HUMAN
A0A180H5P8	A0A180H5P8_HUMAN
A0A180H5R4	A0A180H5R4_HUMAN
