interaction_id	a_alias	b_alias	a_id	b_id
657958	complex:2t4wX3xg9AG4cKw7A/ZBr/9WmeI	O95219	657958	4958542
657958	complex:2t4wX3xg9AG4cKw7A/ZBr/9WmeI	P06213	657958	9769294
658728	P14780	P09238	221385	263897
659000	O95257	P06493	86338	857930
659113	P60568	P19397	994809	3078719
659484	complex:2yo6YIoetkNULFWvEM6qmyxHPYk	P16220	659484	2768047
659484	complex:2yo6YIoetkNULFWvEM6qmyxHPYk	O00470	659484	4802528
659484	complex:2yo6YIoetkNULFWvEM6qmyxHPYk	P40424	659484	5096654
659624	Q9Y6Q9-5	P24385	2296393	4865286
659732	P01857	Q81R83	5333995	5424308
659793	P60709	Q64663	2255804	4440590
660177	Q9Y3Y2	O94817	3076409	4461253
660208	Q9BTP7	Q3E835	4380215	16837817
660405	P35568	P42336	3143545	5032355
661099	O60488	P41091	634957	727423
661457	P19525	P06493	384850	857930
661660	P29466	P52565	1923050	3211116
661931	O60488	P13797	634957	3945570
662008	Q92844	P38646	1180601	4871405
662329	NP_066289	Q92973-2	2068280	3168228
662373	O60488	Q96RQ3	634957	3347456
662627	P19022	P08575	2912791	3093536
662898	O95067	P06493	825431	857930
662976	O60488	Q96D46	634957	4353759
663067	Q96RK4-2	P05062	471317	1233868
663183	O00203	Q12955	2733	2650494
664051	P23470	P06213	913055	9769294
664327	P01100	P35638	3805630	4947898
664519	P16220-3	XP_005252785	2768047	3710129
664592	Q14155	Q13177	202100	1248292
664611	P16871	P04632	2659032	4040199
664708	complex:3MlS8nCXOGO+sQdkWQwzVeO0/e8	Q9HC29	664708	1378693
664708	complex:3MlS8nCXOGO+sQdkWQwzVeO0/e8	P29466	664708	1923050
664708	complex:3MlS8nCXOGO+sQdkWQwzVeO0/e8	Q9C000	664708	4222606
664995	P05107	Q9UBP9	1027325	1518845
665169	Q9UMX0	O60844	3184048	5273761
665403	P43119	P29992	2816673	4166168
665460	P06493	P38936	857930	941370
665636	Q13177	XP_005272234	1248292	4154210
666090	A8K3M3	P06213	5114861	9769294
666302	Q13162	Q81WM8	620717	5365368
666324	P43490	Q01628	1724893	2599030
666438	P13569	Q9UBN7	2450911	2497115
666534	P25025	P80162	4138380	5126605
666544	Q9BTP7	Q8WXE1-5	4380215	4602540
666708	P18847	Q9BZD4	548010	2636409
666720	P11233	complex:3Udu3b6PkAOizs8zQ43uvBiRQB8	499730	666720
666720	complex:3Udu3b6PkAOizs8zQ43uvBiRQB8	P06493	666720	857930
666720	complex:3Udu3b6PkAOizs8zQ43uvBiRQB8	P30154	666720	1976916
666720	complex:3Udu3b6PkAOizs8zQ43uvBiRQB8	P11802	666720	3621324
666720	complex:3Udu3b6PkAOizs8zQ43uvBiRQB8	Q13033	666720	5400483
667435	NP_002176	K7ENL3	2659032	3027803
667446	P35568	G4XH65	3143545	4157895
667500	Q9NSA3	P49662-2	67391	2018169
667582	P18847-4	Q13547	548010	3908752
667639	P18847	Q9NR55	548010	2186833
667777	Q8N0W5	Q9Y6Q9-5	2092473	2296393
667899	P40189-2	O14543	190090	861279
667956	O14543	XP_005259611	861279	9769294
668229	Q15256	Q13164	889770	1628559
668313	P16871	P02679	2659032	3721494
668332	P15924-2	P49662-2	1753973	2018169
668491	P29466-5	Q9Y239	1923050	2542840
668570	P60709	P42932	2255804	3483923
669072	P29466	NM_002111	1923050	14006660
669134	O14543	P35568	861279	3143545
669143	P16220-2	O60264	2768047	4882386
669366	P00533	P35568	2135848	3143545
669392	P35568	P17480	3143545	4366994
669791	P19876	P25025	3741114	4138380
669814	B7Z3D6	P09429	857930	864205
669937	P36741	Q92973	694405	3168228
670191	Q12955-6	Q9UJC3	2650494	3739332
670468	P16871	P11021	2659032	3333598
670493	P04626	P35568	711574	3143545
670822	Q15306	B4DQB3	418524	1297684
671092	O60488	Q9NSM5	634957	4373047
671133	P62258	Q92973	3077030	3168228
671360	D0PNI1	Q9NZM1	746078	4996046
671367	O60488	P13667	634957	3004716
671428	P29466-4	P21127-5	1923050	4106115
671503	Q16659	Q12955	2039437	2650494
672138	P01100	P46821	3805630	9213367
672457	P11836	P19397	1092973	3078719
672860	P61077	Q13489	2607334	4170192
673586	P20023	NP_000564	4381848	14005959
674444	F8W8U5	P01100	1128724	3805630
674712	Q93062	O00167	468848	2146559
674956	O60488	O95602	634957	1704297
675406	P08590	P16871	1346054	2659032
675736	P07711	complex:4wSwV3UHcew6AKXisKXB9XkD+yI	512231	675736
675736	complex:4wSwV3UHcew6AKXisKXB9XkD+yI	Q14CN4	675736	2172183
675736	complex:4wSwV3UHcew6AKXisKXB9XkD+yI	P02768	675736	2726528
675736	complex:4wSwV3UHcew6AKXisKXB9XkD+yI	P05546	675736	2871526
675736	complex:4wSwV3UHcew6AKXisKXB9XkD+yI	P01834	675736	3114885
675736	complex:4wSwV3UHcew6AKXisKXB9XkD+yI	Q92900	675736	3427613
675736	complex:4wSwV3UHcew6AKXisKXB9XkD+yI	E9KL36	675736	4608361
675736	complex:4wSwV3UHcew6AKXisKXB9XkD+yI	P02647	675736	5011796
675736	complex:4wSwV3UHcew6AKXisKXB9XkD+yI	P01857	675736	5333995
675736	complex:4wSwV3UHcew6AKXisKXB9XkD+yI	P01614	675736	5339595
675736	complex:4wSwV3UHcew6AKXisKXB9XkD+yI	P21817	675736	5395245
675736	complex:4wSwV3UHcew6AKXisKXB9XkD+yI	Q7Z333	675736	9442794
675736	complex:4wSwV3UHcew6AKXisKXB9XkD+yI	P02751	675736	14006253
675736	complex:4wSwV3UHcew6AKXisKXB9XkD+yI	P02787	675736	14008088
675887	P01100	Q96GM5-2	3805630	9650725
676293	P06493-2	Q14005-2	857930	5824315
676431	Q13257	XP_005259611	1977606	9769294
676595	P11142	complex:4zWN5A7kLt/NdX7fVB2g/s6kbnw	201818	676595
676595	O95425	complex:4zWN5A7kLt/NdX7fVB2g/s6kbnw	606258	676595
676595	complex:4zWN5A7kLt/NdX7fVB2g/s6kbnw	P05107	676595	1027325
676595	complex:4zWN5A7kLt/NdX7fVB2g/s6kbnw	P60709	676595	2255804
676595	complex:4zWN5A7kLt/NdX7fVB2g/s6kbnw	O43707	676595	2778378
676595	complex:4zWN5A7kLt/NdX7fVB2g/s6kbnw	Q16787	676595	2990410
676595	complex:4zWN5A7kLt/NdX7fVB2g/s6kbnw	A8K5I0	676595	3202052
676595	complex:4zWN5A7kLt/NdX7fVB2g/s6kbnw	Q64663	676595	4440590
676595	complex:4zWN5A7kLt/NdX7fVB2g/s6kbnw	Q13368	676595	4454860
676595	complex:4zWN5A7kLt/NdX7fVB2g/s6kbnw	P08238	676595	4732923
676595	complex:4zWN5A7kLt/NdX7fVB2g/s6kbnw	P23467	676595	4791881
676595	complex:4zWN5A7kLt/NdX7fVB2g/s6kbnw	P42356	676595	5364372
677099	P15036	P01100	3043915	3805630
677338	O14933	P43490	261783	1724893
677437	Q15306	Q9Y4K3	418524	2981808
677940	P01100	Q969S3	3805630	4764899
678041	Q13177	B4E1U9	1248292	2556870
678272	Q93062	Q86UW9	468848	5311699
678290	A4D105	P60709	2221221	2255804
678851	P01834	Q7CKD4	3114885	5351017
678901	Q9UN21	P01100	310876	3805630
679397	complex:5eqNE37c1QhIgOua30t5zve4St8	P60709	679397	2255804
679397	complex:5eqNE37c1QhIgOua30t5zve4St8	P50402	679397	2266085
679397	complex:5eqNE37c1QhIgOua30t5zve4St8	Q13287	679397	3740662
679586	P62851	P01100	809471	3805630
679702	Q9UG56	Q92973	487123	3168228
679734	P49662-2	O94874	2018169	4700691
679931	Q13596-2	XP_005259611	3202745	9769294
680305	B7Z3D6	Q69YH5	857930	1916174
680570	Q15306-2	Q16520	418524	3961535
680853	O60488	P60842	634957	1655367
681126	P13569	Q9H3Z4	2450911	3021894
681295	P62745	P06213	1738257	9769294
681327	B7Z3D6	P62136-3	857930	2413104
681364	Q9UII7	P35568	2412960	3143545
681804	B7Z3D6	P06241-3	857930	2079075
681992	Q93045	H9NIM5	4223517	5184439
682179	P40189	P23458	190090	2038544
682386	F5GXU7	XP_005259611	858777	9769294
682518	P06493	P03070	857930	5343788
682775	Q05655	XP_005259611	1278344	9769294
682865	P50148	O15539	1806051	1920183
682916	P40189-2	P42702	190090	2775278
683155	P49662	O14579	2018169	2066623
683160	P29279	complex:5tJATWQ5ButcLsC2zBu4kWsdoeQ	510062	683160
683160	complex:5tJATWQ5ButcLsC2zBu4kWsdoeQ	P63261	683160	1170182
683160	complex:5tJATWQ5ButcLsC2zBu4kWsdoeQ	P60709	683160	2255804
683169	P29466	P10144	1923050	11007358
683416	E7DVW4	XP_005259611	5108932	9769294
683574	P49662-2	Q86Y56	2018169	9645115
683966	O15553	P51878	4033107	9443120
684047	Q15306	J3KPU4	418524	1186808
684542	XP_005261189	Q96FC7-3	2386473	9148117
684573	O95352-3	O94817	3132597	4461253
684893	P27797	P16871	1947840	2659032
685162	Q06141	NP_997639	310728	14006253
685407	P06493	Q8N5D4	857930	3538645
686477	Q9UNQ2	Q92973	2300358	3168228
686825	P13569	P27824	2450911	4616280
687726	P06239	NP_002829	1065781	3093536
687855	complex:6EV/ueKPH9H0nPIUuLI6gS5CQlU	P06493	687855	857930
687855	complex:6EV/ueKPH9H0nPIUuLI6gS5CQlU	Q13635	687855	2972294
687855	complex:6EV/ueKPH9H0nPIUuLI6gS5CQlU	P14635	687855	4670894
687872	Q13753-2	P14543	4860048	4881306
687944	Q13177	rogid:dClXG92NNMtZl3mxl+fmhOtsFhA9606	1248292	11789649
687967	O15539	P08754	1920183	3252138
687991	P06493-2	Q9Y5T5-2	857930	3504368
688086	P18847-4	P18847-4	548010	548010
688325	A4D2P0	Q13177	886779	1248292
688422	P11912-2	P02760	2339737	3429871
688485	Q8IWV7	P12429	1203852	3366883
688858	complex:6igBuQG5FsMN342NpZGsygUgftU	A8K7B7	688858	749723
688858	complex:6igBuQG5FsMN342NpZGsygUgftU	P06493	688858	857930
688858	complex:6igBuQG5FsMN342NpZGsygUgftU	P11802	688858	3621324
688858	complex:6igBuQG5FsMN342NpZGsygUgftU	Q13033	688858	5400483
688904	P08575	P08581	3093536	4861001
689142	Q93062	Q8TC90	468848	3053241
689230	Q9C0F3	P16220-3	617897	2768047
689322	P40189-2	P21860-5	190090	3231405
689367	Q92636	P60709	1316459	2255804
689507	P98170	P49662-2	686131	2018169
689644	O75563	Q96QH2-2	107873	16826696
689736	Q9Y2F9	Q9ULL4	508602	4318845
690621	O60488	Q9NYR8	634957	3511836
690722	Q9H307	P01100	375270	3805630
691564	P08575	P11226	3093536	4398410
691649	P06493	P36873	857930	4122724
691799	Q13813	complex:6TJ9WWhrQUUvBNF0mRFRxvBe48U	436342	691799
691799	complex:6TJ9WWhrQUUvBNF0mRFRxvBe48U	P60709	691799	2255804
691799	complex:6TJ9WWhrQUUvBNF0mRFRxvBe48U	P50402	691799	2266085
691799	complex:6TJ9WWhrQUUvBNF0mRFRxvBe48U	P02545	691799	3429103
691799	complex:6TJ9WWhrQUUvBNF0mRFRxvBe48U	Q13287	691799	3740662
691799	complex:6TJ9WWhrQUUvBNF0mRFRxvBe48U	P20700	691799	5212606
691828	A4D1C5	P06213	218817	9769294
691851	P40189	Q06124	190090	5369795
692163	P16871	P02768	2659032	2726528
692202	P06493-2	P98082	857930	1581317
692487	Q9Y6Q9-5	P10589	2296393	4590798
692627	Q92973	NP_057852	3168228	9129631
692691	P18847-4	P15336	548010	952160
692888	Q8VHP6	O43490	1576162	4915210
693846	B7Z3D6	XP_005253175	857930	1638228
694079	P60709	B0I1T2	2255804	13314112
694272	O60488	O95373	634957	1026556
694303	B4E3T4	O75791	468848	1706107
694743	Q15554-3	Q13162	475613	620717
694954	Q03936-2	P16220-3	1519006	2768047
694983	P51884	E7EX88	50289	13511365
695147	P60709	Q9UHV8	2255804	4477607
695236	P35568	P11274-2	3143545	4305807
695345	O60488	Q9HCN4	634957	3798071
696183	P01857	P0CG04	5333995	14006869
696323	Q9UNA1-2	XP_005259611	50293	9769294
696627	complex:7FQXlv8zsHIo0N+Qxzh0WbJcMNc	P60709	696627	2255804
696627	complex:7FQXlv8zsHIo0N+Qxzh0WbJcMNc	P11277	696627	3566787
696627	complex:7FQXlv8zsHIo0N+Qxzh0WbJcMNc	O43491	696627	3776356
696627	complex:7FQXlv8zsHIo0N+Qxzh0WbJcMNc	P02549	696627	5068079
696662	P06493	NP_057852	857930	9129631
696995	P09681	P48546	4344241	4745215
697315	complex:7iEaQzEkHHVUP3CtQn9ig4Q+sDM	Q09472	697315	820620
697315	complex:7iEaQzEkHHVUP3CtQn9ig4Q+sDM	Q92831	697315	1991355
697315	complex:7iEaQzEkHHVUP3CtQn9ig4Q+sDM	Q9Y6Q9	697315	2296393
697315	complex:7iEaQzEkHHVUP3CtQn9ig4Q+sDM	Q92793	697315	4774660
697348	complex:7iI5Axn9GUZljJ4N9FeH2+VmDGY	Q9UGM3	697348	997260
697348	complex:7iI5Axn9GUZljJ4N9FeH2+VmDGY	Q8TEW0	697348	1869743
697348	complex:7iI5Axn9GUZljJ4N9FeH2+VmDGY	Q9BYG5	697348	1992667
697348	complex:7iI5Axn9GUZljJ4N9FeH2+VmDGY	P60953	697348	2556870
697348	complex:7iI5Axn9GUZljJ4N9FeH2+VmDGY	Q9NPB6	697348	3777442
697348	complex:7iI5Axn9GUZljJ4N9FeH2+VmDGY	P41743	697348	4487727
697348	complex:7iI5Axn9GUZljJ4N9FeH2+VmDGY	Q05513	697348	5247574
697348	complex:7iI5Axn9GUZljJ4N9FeH2+VmDGY	Q6P1M3	697348	5339738
697348	complex:7iI5Axn9GUZljJ4N9FeH2+VmDGY	Q15334	697348	11793525
697437	O15269	O76081	2978803	5184439
697935	P42261	P25025	193246	4138380
698062	P13236	P51678	1714665	3516372
698092	P48356	P08575	2547835	3093536
698283	P42224-2	P01100	1004542	3805630
698432	O14544	XP_005259611	3306496	9769294
699278	Q13177	Q14161-2	1248292	5275746
