interaction_id	a_alias	b_alias	a_id	b_id
665372	O15218	P35318	4049544	4814801
665403	P43119	P29992	2816673	4166168
666422	XP_005246873	O15379	1004542	4810370
666529	P01033	P08253	3497176	3971681
667132	P10909	Q96AJ1-2	3723605	4050778
667134	Q9ULX9	P35452	2082462	4277640
667220	P61221	complex:3W2zuTOU8mc+XHm3qFJmc0T5Kw4	11750	667220
667220	Q70EL3	complex:3W2zuTOU8mc+XHm3qFJmc0T5Kw4	214467	667220
667220	Q71U36	complex:3W2zuTOU8mc+XHm3qFJmc0T5Kw4	271062	667220
667220	Q9Y4W6	complex:3W2zuTOU8mc+XHm3qFJmc0T5Kw4	639531	667220
667220	complex:3W2zuTOU8mc+XHm3qFJmc0T5Kw4	P11717	667220	788005
667220	complex:3W2zuTOU8mc+XHm3qFJmc0T5Kw4	A8K5J1	667220	861008
667220	complex:3W2zuTOU8mc+XHm3qFJmc0T5Kw4	P51648	667220	1040545
667220	complex:3W2zuTOU8mc+XHm3qFJmc0T5Kw4	P28288	667220	1130622
667220	complex:3W2zuTOU8mc+XHm3qFJmc0T5Kw4	Q8NCM8	667220	1346174
667220	complex:3W2zuTOU8mc+XHm3qFJmc0T5Kw4	P62879	667220	1565762
667220	complex:3W2zuTOU8mc+XHm3qFJmc0T5Kw4	Q9NQ29	667220	2277105
667220	complex:3W2zuTOU8mc+XHm3qFJmc0T5Kw4	O00410	667220	2521025
667220	complex:3W2zuTOU8mc+XHm3qFJmc0T5Kw4	P35613	667220	2620388
667220	complex:3W2zuTOU8mc+XHm3qFJmc0T5Kw4	Q6UB35	667220	2890624
667220	complex:3W2zuTOU8mc+XHm3qFJmc0T5Kw4	Q15758	667220	3225667
667220	complex:3W2zuTOU8mc+XHm3qFJmc0T5Kw4	Q549N5	667220	3541090
667220	complex:3W2zuTOU8mc+XHm3qFJmc0T5Kw4	Q07065	667220	3642898
667220	complex:3W2zuTOU8mc+XHm3qFJmc0T5Kw4	P11310	667220	3859512
667220	complex:3W2zuTOU8mc+XHm3qFJmc0T5Kw4	Q7Z6Z7	667220	4230503
667220	complex:3W2zuTOU8mc+XHm3qFJmc0T5Kw4	Q9UJS0	667220	5087665
667220	complex:3W2zuTOU8mc+XHm3qFJmc0T5Kw4	Q9C0C7	667220	5289096
667220	complex:3W2zuTOU8mc+XHm3qFJmc0T5Kw4	Q92621	667220	14007211
667446	P35568	G4XH65	3143545	4157895
667646	P42224-2	Q04206-4	1004542	4629164
667897	B2ZZ90	Q15067	3498834	5287038
668126	A8K563	Q15067	4115296	5287038
668634	P48059	Q6ZTM5	2974113	4109521
668857	P48059-5	O43639	2974113	4765909
669134	O14543	P35568	861279	3143545
669208	O95760	P42574	2333465	3329408
669366	P00533	P35568	2135848	3143545
669392	P35568	P17480	3143545	4366994
669399	P17861	P60900	717706	1821380
669675	P37231	P33316	2201336	2878369
669778	P12034-2	P21802-14	1108016	4935615
669791	P19876	P25025	3741114	4138380
670313	A3RJH1	Q92597	3153397	5176863
670325	O15067	P36871	1673109	2673990
670493	P04626	P35568	711574	3143545
671146	P04626-3	XP_005246873	711574	1004542
671636	P21796	Q16658	856204	4997501
672306	A4FTV9	O95760	1603647	2333465
672782	P41222	Q4R4P0	2268399	3655832
673064	complex:4meXbBWs0mIm4RhZu0CNmreDas4	P16885	673064	1561215
673064	complex:4meXbBWs0mIm4RhZu0CNmreDas4	P12314	673064	4020810
673064	complex:4meXbBWs0mIm4RhZu0CNmreDas4	P07948	673064	4083603
673191	Q9H788	NP_005326	1680559	16820919
673459	P60022	P09237	2362691	4966191
673611	P08758	Q81LU9	4535951	5336180
673798	O14921	P50148	349491	1806051
673823	P37231	Q9H0E9	2201336	14005669
674564	P42224	Q13485	1004542	3087482
675091	Q5M8T4	P15692-2	510062	3325509
675613	P42224	O43707	1004542	2778378
675736	P07711	complex:4wSwV3UHcew6AKXisKXB9XkD+yI	512231	675736
675736	complex:4wSwV3UHcew6AKXisKXB9XkD+yI	Q14CN4	675736	2172183
675736	complex:4wSwV3UHcew6AKXisKXB9XkD+yI	P02768	675736	2726528
675736	complex:4wSwV3UHcew6AKXisKXB9XkD+yI	P05546	675736	2871526
675736	complex:4wSwV3UHcew6AKXisKXB9XkD+yI	P01834	675736	3114885
675736	complex:4wSwV3UHcew6AKXisKXB9XkD+yI	Q92900	675736	3427613
675736	complex:4wSwV3UHcew6AKXisKXB9XkD+yI	E9KL36	675736	4608361
675736	complex:4wSwV3UHcew6AKXisKXB9XkD+yI	P02647	675736	5011796
675736	complex:4wSwV3UHcew6AKXisKXB9XkD+yI	P01857	675736	5333995
675736	complex:4wSwV3UHcew6AKXisKXB9XkD+yI	P01614	675736	5339595
675736	complex:4wSwV3UHcew6AKXisKXB9XkD+yI	P21817	675736	5395245
675736	complex:4wSwV3UHcew6AKXisKXB9XkD+yI	Q7Z333	675736	9442794
675736	complex:4wSwV3UHcew6AKXisKXB9XkD+yI	P02751	675736	14006253
675736	complex:4wSwV3UHcew6AKXisKXB9XkD+yI	P02787	675736	14008088
675839	O14939	Q15067	4412742	5287038
676375	A8K881	P08758	3197085	4535951
676432	P23396	Q92597	1945943	5176863
677099	P15036	P01100	3043915	3805630
677132	NP_001002273	P07948-2	2374240	4083603
677646	P56537	Q16658	998479	4997501
678208	P07948	Q9QPN3	4083603	5355080
678469	B0LPF3	P21802	4056103	4935615
678592	O95994	Q9Y3C7	1680760	3756319
678662	XP_005246873	XP_005257673	1004542	3027803
678966	P04155	Q9NRR5	1119944	2154661
679305	P20827-2	Q15375	1297481	2194565
679423	Q92597	Q04726	5176863	5408338
679441	Q16649	Q03060	3831942	11792364
679539	P29597	P07948	2218557	4083603
680567	Q9UK73	Q15067	3355830	5287038
680604	P37231-3	XP_005269678	2201336	5336595
680661	Q15648	D2KUA6	1007949	2201336
680739	P37231	O60337	2201336	3449862
680900	P49588	P36871	1683210	2673990
681364	Q9UII7	P35568	2412960	3143545
681458	Q14194	O95994	585351	1680760
682117	P07602-3	Q9ULX9	1630572	2082462
682287	Q9H422	P49796	3710129	4842235
683017	P68133	Q16658	402740	4997501
683134	P34995	P41222	1472711	2268399
683141	P37231	P61964	2201336	3076419
683160	P29279	complex:5tJATWQ5ButcLsC2zBu4kWsdoeQ	510062	683160
683160	complex:5tJATWQ5ButcLsC2zBu4kWsdoeQ	P63261	683160	1170182
683160	complex:5tJATWQ5ButcLsC2zBu4kWsdoeQ	P60709	683160	2255804
683416	E7DVW4	XP_005259611	5108932	9769294
684916	P22607	P05787	656326	5279905
686628	P14672	Q15067	3498736	5287038
686820	P32455	P32455	3714020	3714020
687299	Q9UM73	Q16820	1136337	8972896
688225	P07948	O92972	4083603	5365797
688860	P49796	Q9DC51	4842235	5032932
689380	Q92835-2	P07948-2	2903174	4083603
691201	P48023	P09237	414846	4966191
691253	A2A3R6	Q92597	1211564	5176863
691730	P29279	Q8ZCW0	510062	5345468
692475	P17947	Q03060-23	2246861	11792364
693941	Q9BX44	Q15067	4955134	5287038
694482	P42224	AAC36702	1004542	1693362
694494	P01033	P08962	3497176	4095660
694679	P63151	Q92597	1798066	5176863
695095	P07948	P27635	4083603	4706411
695236	P35568	P11274-2	3143545	4305807
695511	P37231-3	Q9UBK2	2201336	2806644
696021	P01282	P32241	567780	1528293
696183	P01857	P0CG04	5333995	14006869
697475	P07948-2	NP_001120979	4083603	14005598
698283	P42224-2	P01100	1004542	3805630
699301	P10912	P35568	1240138	3143545
699380	P12931	XP_005246873	863768	1004542
699640	P16070	P09237	3739030	4966191
