Entry	Entry name
H0YMQ3	H0YMQ3_HUMAN
J3KMZ9	J3KMZ9_HUMAN
P01130	LDLR_HUMAN
Q6LCH2	Q6LCH2_HUMAN
Q9UH51	Q9UH51_HUMAN
D2KFR9	D2KFR9_HUMAN
E7ENM1	E7ENM1_HUMAN
E7EPD2	E7EPD2_HUMAN
E9PH66	E9PH66_HUMAN
H7BZ88	H7BZ88_HUMAN
H7BZB5	H7BZB5_HUMAN
J3KPM9	J3KPM9_HUMAN
P42224	STAT1_HUMAN
Q67C41	Q67C41_HUMAN
Q9UK44	Q9UK44_HUMAN
A6NJA2	A6NJA2_HUMAN
D3DUG9	D3DUG9_HUMAN
J3KS55	J3KS55_HUMAN
J3QQT6	J3QQT6_HUMAN
P54578	UBP14_HUMAN
R4GNB0	R4GNB0_HUMAN
C9JDI8	C9JDI8_HUMAN
C9JYP5	C9JYP5_HUMAN
E7ETP9	E7ETP9_HUMAN
Q9UQV4	LAMP3_HUMAN
P20061	TCO1_HUMAN
B4E2Q0	B4E2Q0_HUMAN
D6R9U9	D6R9U9_HUMAN
D6REJ1	D6REJ1_HUMAN
D6RGE9	D6RGE9_HUMAN
D6RHV9	D6RHV9_HUMAN
H0Y8X9	H0Y8X9_HUMAN
H0Y9S7	H0Y9S7_HUMAN
H0Y9V7	H0Y9V7_HUMAN
H0YAH2	H0YAH2_HUMAN
P98194	AT2C1_HUMAN
Q16548	B2LA1_HUMAN
B2RTX2	B2RTX2_HUMAN
D6R948	D6R948_HUMAN
D6R9F5	D6R9F5_HUMAN
D6R9Z5	D6R9Z5_HUMAN
D6RBB1	D6RBB1_HUMAN
D6RBH5	D6RBH5_HUMAN
F8WA26	F8WA26_HUMAN
H0Y952	H0Y952_HUMAN
H0YA05	H0YA05_HUMAN
L0R8B3	L0R8B3_HUMAN
Q8WX93	PALLD_HUMAN
A0N0R1	A0N0R1_HUMAN
P10147	CCL3_HUMAN
A0A0G2JH38	A0A0G2JH38_HUMAN
C9JRT3	C9JRT3_HUMAN
F8WBL9	F8WBL9_HUMAN
H7C526	H7C526_HUMAN
H7C5H1	H7C5H1_HUMAN
P00751	CFAB_HUMAN
W8VT81	W8VT81_HUMAN
B0YJ56	B0YJ56_HUMAN
B7ZLX8	B7ZLX8_HUMAN
E7ER58	E7ER58_HUMAN
J3KRT6	J3KRT6_HUMAN
J3KSG6	J3KSG6_HUMAN
J3KTA6	J3KTA6_HUMAN
J3QLA2	J3QLA2_HUMAN
J3QS61	J3QS61_HUMAN
J3QSB8	J3QSB8_HUMAN
Q6DKJ0	Q6DKJ0_HUMAN
Q6GSK5	Q6GSK5_HUMAN
Q9BXW6	OSBL1_HUMAN
F5GX41	F5GX41_HUMAN
F5GXY9	F5GXY9_HUMAN
P12318	FCG2A_HUMAN
V9GY55	V9GY55_HUMAN
V9GY83	V9GY83_HUMAN
P35228	NOS2_HUMAN
P60321	NANO2_HUMAN
P49716	CEBPD_HUMAN
Q504X4	Q504X4_HUMAN
A1L3V6	A1L3V6_HUMAN
D6RJA3	D6RJA3_HUMAN
P29120	NEC1_HUMAN
D3DQ39	D3DQ39_HUMAN
E9PKG2	E9PKG2_HUMAN
E9PP15	E9PP15_HUMAN
H0YCA4	H0YCA4_HUMAN
H0YEA5	H0YEA5_HUMAN
H0YEV6	H0YEV6_HUMAN
Q14114	LRP8_HUMAN
A1XGZ0	A1XGZ0_HUMAN
B2R5T5	B2R5T5_HUMAN
K7EID3	K7EID3_HUMAN
